course_id,title,due_date,description
CS401,Assignment 1 - Linear Regression,2026-03-05,Implement linear regression from scratch using NumPy. Submit Jupyter notebook with analysis.
CS401,Mid-Semester Exam,2026-03-15,Covers modules 1-3: Supervised Learning and Model Evaluation.
CS401,Project Proposal,2026-03-20,Submit ML project proposal (2 pages) with dataset description and methodology.
CS401,Assignment 2 - Neural Networks,2026-04-02,Build a feedforward neural network for image classification on CIFAR-10.
CS401,Final Project Submission,2026-04-25,Complete ML project with report and code repository.
CS402,Assignment 1 - Socket Programming,2026-03-03,Implement a basic TCP client-server chat application in Python.
CS402,Quiz 1,2026-03-10,OSI model and TCP/IP layers.
CS402,Assignment 2 - HTTP Server,2026-03-25,Build a simple HTTP server that serves static files.
CS402,Mid-Semester Exam,2026-03-18,Covers modules 1-3: Network layers and protocols.
CS402,Assignment 3 - Wireshark Analysis,2026-04-10,Capture and analyze network packets using Wireshark. Submit report.
CS403,Assignment 1 - ER Diagrams,2026-03-01,Design an ER diagram for a university management system.
CS403,Assignment 2 - SQL Queries,2026-03-12,Write complex SQL queries including joins and subqueries.
CS403,Mid-Semester Exam,2026-03-17,Covers modules 1-3: Relational model and SQL.
CS403,Assignment 3 - Normalization,2026-04-05,Normalize a given schema to 3NF with step-by-step justification.
CS403,Mini Project,2026-04-20,Build a database-backed web application. Team of 2.
CS404,Assignment 1 - SRS Document,2026-03-04,Write a Software Requirements Specification for the given case study.
CS404,Assignment 2 - UML Diagrams,2026-03-18,"Create use case, class, and sequence diagrams."
CS404,Mid-Semester Exam,2026-03-16,Covers modules 1-3: SDLC models and requirements engineering.
CS404,Group Project - Sprint 1,2026-04-01,Complete first sprint deliverables with working prototype.
CS404,Group Project - Final Delivery,2026-04-22,Final project submission with testing report and documentation.
CS405,Assignment 1 - Process Scheduling,2026-03-06,Simulate FCFS SJF and Round Robin scheduling algorithms.
CS405,Assignment 2 - Memory Management,2026-03-20,Implement page replacement algorithms (FIFO LRU Optimal).
CS405,Mid-Semester Exam,2026-03-19,Covers modules 1-3: Process management and synchronization.
CS405,Assignment 3 - File Systems,2026-04-08,Compare file allocation strategies with simulation results.
CS405,End-Semester Exam,2026-04-28,Comprehensive exam covering all modules.
